session_id,mouse_movement,typing_patterns,click_behaviors,page_dwell_time,scroll_interaction,time_between_requests,user_agent,ip_address
"sess-yzqfse3za","[{""x"":10,""y"":10,""time"":1739963942346},{""x"":603,""y"":308,""time"":1739963942469},{""x"":0,""y"":0,""time"":1739963942718}]","[]","[]","5498","[]","[]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.142 Safari/537.36","172.191.47.245"
"sess-1m3hepeay","[{""x"":0,""y"":0,""time"":1739964047178},{""x"":863,""y"":879,""time"":1739964047413},{""x"":0,""y"":0,""time"":1739964047663}]","[]","[]","4929","[]","[]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6523.4 Safari/537.36","172.191.47.245"
